FID,ATTRIBUTE,WETLAND_TY,ACRES,SHAPE_Leng,SHAPE_Area,AREA_km2
0,PFO1A,Freshwater Forested/Shrub Wetland,30.217168170000001,4795.489669110000200,122284.541300000000000,0.1175200
1,PFO1A,Freshwater Forested/Shrub Wetland,8.852294049999999,1207.948124130000000,35823.963100100002000,0.0269965
2,PEMF,Freshwater Emergent Wetland,0.984551540000000,267.285655179999990,3984.338750060000200,0.0039843
3,PFO1A,Freshwater Forested/Shrub Wetland,4.767403250000000,1212.111355650000000,19292.996500000001000,0.0192930
4,PFO1A,Freshwater Forested/Shrub Wetland,4.162086900000000,592.740258924000050,16843.409199900001000,0.0168434
5,PEMA,Freshwater Emergent Wetland,4.264343780000000,724.288485670000000,17257.187050100001000,0.0172572
6,PEMC,Freshwater Emergent Wetland,0.098313420000000,70.803471095399999,397.860300004000010,0.0003979
7,PFO1A,Freshwater Forested/Shrub Wetland,21.008236430000000,3186.446771899999900,85017.316700199997000,0.0117145
8,PEMFh,Freshwater Emergent Wetland,1.206552280000000,410.754785979000020,4882.743849970000200,0.0048827
9,PFO1A,Freshwater Forested/Shrub Wetland,76.947166429999996,7829.163721680000000,311394.135248999980000,0.2315980
10,PFO1A,Freshwater Forested/Shrub Wetland,12.293804420000001,1093.460395430000100,49751.261449999998000,0.0032197
11,PEMA,Freshwater Emergent Wetland,1.975720610000000,496.484068627000000,7995.457649969999700,0.0039337
12,PFO1A,Freshwater Forested/Shrub Wetland,2.950397810000000,575.133006430000020,11939.836350000000000,0.0065428
13,PEMCd,Freshwater Emergent Wetland,4.374403740000000,532.146336001000010,17702.583900000001000,0.0177026
14,PEMAf,Freshwater Emergent Wetland,0.946309270000000,335.981084024999970,3829.577750030000100,0.0038296
15,PFO1C,Freshwater Forested/Shrub Wetland,0.531439500000000,180.205185129999990,2150.659350030000000,0.0021507
16,PFO1A,Freshwater Forested/Shrub Wetland,3.350883760000000,546.714889522000020,13560.545500000000000,0.0000422
17,PFO1F,Freshwater Forested/Shrub Wetland,1.056244170000000,385.962410257999980,4274.468500060000200,0.0042745
18,PFO1A,Freshwater Forested/Shrub Wetland,1.539960780000000,422.009131783999980,6232.000199850000200,0.0005924
19,PEMA,Freshwater Emergent Wetland,0.098328620000000,70.808974223700005,397.921799978000020,0.0003979
20,PFO1A,Freshwater Forested/Shrub Wetland,17.814105420000001,2764.274029360000000,72091.127050499999000,0.0436813
21,PFO1A,Freshwater Forested/Shrub Wetland,23.737846500000000,1277.502446239999900,96063.656750099995000,0.0960637
22,PFO1A,Freshwater Forested/Shrub Wetland,1.691771090000000,417.608971395000030,6846.354699919999800,0.0027939
23,PFO1A,Freshwater Forested/Shrub Wetland,23.971648850000001,3424.261053639999800,97009.821299899995000,0.0545587
24,PFO1A,Freshwater Forested/Shrub Wetland,7.638841250000000,1068.115068780000000,30913.293849900001000,0.0299634
25,PEMC,Freshwater Emergent Wetland,0.442191220000000,196.075300946999990,1789.484400030000000,0.0017895
26,PFO1A,Freshwater Forested/Shrub Wetland,27.309535700000001,3980.643984140000200,110517.770150000000000,0.0753934
27,PFO1A,Freshwater Forested/Shrub Wetland,4.131369300000000,1079.600027069999900,16719.058400000002000,0.0157072
28,PEMC,Freshwater Emergent Wetland,8.886447100000000,946.091272410999980,35962.175600000002000,0.0359622
29,PEMAf,Freshwater Emergent Wetland,2.626694160000000,693.817781568999980,10629.854150100000000,0.0106299
30,PFO1A,Freshwater Forested/Shrub Wetland,7.613824260000000,1370.873121970000100,30812.053650000002000,0.0004053
31,PFO1C,Freshwater Forested/Shrub Wetland,12.290451500000000,1864.604202660000100,49737.692700200001000,0.0255146
32,PFO1A,Freshwater Forested/Shrub Wetland,1.025962240000000,328.323018430999980,4151.921899979999600,0.0041519
33,PFO1A,Freshwater Forested/Shrub Wetland,1.483218850000000,330.827262158000000,6002.373750089999700,0.0060024
34,PEMA,Freshwater Emergent Wetland,2.156273470000000,601.001731568999960,8726.129149930000500,0.0087261
35,PFO1A,Freshwater Forested/Shrub Wetland,131.758198270000010,8575.824605449999600,533206.306499999950000,0.1140160
36,PFO1A,Freshwater Forested/Shrub Wetland,16.898590330000001,1237.160138460000100,68386.168949900006000,0.0683862
37,PFO1A,Freshwater Forested/Shrub Wetland,1.837861320000000,426.561777736000010,7437.560900030000100,0.0023562
38,PEMC,Freshwater Emergent Wetland,0.385166490000000,151.343349568000010,1558.713499949999900,0.0015587
39,PSS1A,Freshwater Forested/Shrub Wetland,11.588986360000000,1248.777354170000100,46898.963950300000000,0.0468990
40,PFO1C,Freshwater Forested/Shrub Wetland,2.172828120000000,421.182682574000010,8793.123449990000200,0.0087931
41,PFO1A,Freshwater Forested/Shrub Wetland,6.306379690000000,1116.585575939999900,25521.013199900000000,0.0009704
42,PEMC,Freshwater Emergent Wetland,1.382229800000000,293.430686467999980,5593.685550000000100,0.0055937
43,PEMC,Freshwater Emergent Wetland,3.756049850000000,468.233793543999980,15200.194500100000000,0.0152002
44,PFO1A,Freshwater Forested/Shrub Wetland,16.105837409999999,2155.113672040000000,65178.011700000003000,0.0559509
45,PFO1A,Freshwater Forested/Shrub Wetland,56.430587050000000,5841.582548489999700,228366.369486999990000,0.0570859
46,PFO1A,Freshwater Forested/Shrub Wetland,3.627877810000000,836.749602611999990,14681.500650000000000,0.0116135
47,PFO1A,Freshwater Forested/Shrub Wetland,4.044460460000000,555.276870738999950,16367.327337500001000,0.0163673
48,PSS1Fh,Freshwater Forested/Shrub Wetland,2.678080160000000,753.475892813999960,10837.805899999999000,0.0108378
49,PFO1A,Freshwater Forested/Shrub Wetland,1.166192010000000,334.938535731000000,4719.411650039999600,0.0043295
50,PFO1A,Freshwater Forested/Shrub Wetland,18.817554160000000,2176.805652540000200,76151.940049800003000,0.0758507
51,PFO1A,Freshwater Forested/Shrub Wetland,97.674566630000001,4254.074934219999700,395274.947999999970000,0.0220082
52,PEMFh,Freshwater Emergent Wetland,0.236644530000000,113.106684738000000,957.666449949000030,0.0009577
53,PFO1A,Freshwater Forested/Shrub Wetland,0.789795650000000,285.127079743000020,3196.189599989999800,0.0031962
54,PEM/SS1A,Freshwater Emergent Wetland,1.744660460000000,361.068381161999980,7060.390399980000400,0.0069351
55,PFO1A,Freshwater Forested/Shrub Wetland,28.343200690000000,3481.205735600000000,114700.863950000000000,0.0070629
56,PFO1A,Freshwater Forested/Shrub Wetland,12.391974480000000,1148.385492960000000,50148.541599800003000,0.0064241
57,PFO1C,Freshwater Forested/Shrub Wetland,2.021588420000000,490.405429959000000,8181.078100150000000,0.0009898
58,PFO1A,Freshwater Forested/Shrub Wetland,2.971288050000000,678.394962965999980,12024.376149899999000,0.0120244
59,PEMA,Freshwater Emergent Wetland,3.135355730000000,911.725823392000050,12688.334500100000000,0.0126883
60,PEMC,Freshwater Emergent Wetland,0.098318960000000,70.805549791100006,397.882700000999990,0.0003979
